"","Año","Y","CPUEdat"
"1",1,0,2.91897043109345
"2",2,73.4533086015544,2.39678756986528
"3",3,108.273831006646,2.59015374921652
"4",4,397.527172783266,2.58760972838976
"5",5,725.848917311289,1.98336630265445
"6",6,408.528969681798,1.1434112257928
"7",7,511.36357021899,1.38734410959052
"8",8,418.917399509221,1.16712242527531
"9",9,395.413521513335,1.33805561798398
"10",10,717.119124919663,1.17868812029953
"11",11,508.907886913001,1.12431222535225
"12",12,352.518912884187,0.783891112162022
"13",13,273.201935752811,0.863662828634674
"14",14,327.999635379015,0.964196731251102
"15",15,352.334929618395,0.886328210337986
"16",16,472.898886200601,0.688216489984789
"17",17,596.210759460404,0.749039199186198
"18",18,158.55141862768,0.464035634704212
"19",19,300.748804621928,0.655217235853841
"20",20,273.933477136815,0.577262853718794
