"","Año","Y","CPUEdat"
"1",1,0,3.25460396118393
"2",2,78.7093732309746,1.55642002716727
"3",3,57.1762565068959,1.41791554515386
"4",4,456.24188371165,4.98528164381285
"5",5,1730.71808001018,2.50343331366257
"6",6,344.557567447966,0.697944341544626
"7",7,203.467051364254,0.193942175192316
"8",8,143.931373042493,0.265053088661253
"9",9,204.614504228306,0.819417645577846
"10",10,80.7726314666993,0.761603491656667
"11",11,118.337584841929,0.526100041742873
"12",12,277.779193371229,0.311948977000512
"13",13,192.001496207483,0.276856448169519
"14",14,237.534817190367,1.07785348140866
"15",15,359.81741984634,0.681102057951672
"16",16,226.944858620123,0.684023609965187
"17",17,131.119455942112,0.257779182361196
"18",18,340.394389912721,0.465835333894141
"19",19,182.482294687824,1.13683628687874
"20",20,382.113981268031,1.27663639638265
