"","Año","Y","CPUEdat"
"1",1,0,2.86620744186336
"2",2,96.2128977497738,2.49782687356021
"3",3,101.957215106474,1.17505127403219
"4",4,459.58063279526,3.1139491665586
"5",5,727.960408766662,0.870030642393587
"6",6,550.220013968694,0.753183685487673
"7",7,682.041681945136,1.1895598131344
"8",8,408.801858849421,0.832967503376052
"9",9,479.987781430084,0.987972756690815
"10",10,525.735315007629,0.600703395913588
"11",11,198.951836834,0.754238551248023
"12",12,337.894889912192,0.76505428536947
"13",13,254.515988558454,0.371653592936695
"14",14,350.134295794756,1.10684564496548
"15",15,514.039384898786,0.36949943894396
"16",16,349.083539565685,0.336158081763651
"17",17,495.553709554649,0.561105920646285
"18",18,143.767443419901,0.332919506418475
"19",19,208.552751712115,0.479594344893759
"20",20,313.844488585198,0.352288389976842
