"","Año","Y","CPUEdat"
"1",1,0,2.65176714207575
"2",2,132.792523920014,2.92018780763308
"3",3,64.1040471374602,1.80691297494702
"4",4,357.297154109079,2.74072390806002
"5",5,1080.6249470203,2.21522390681531
"6",6,465.160299961128,1.43628661018624
"7",7,551.804026853431,0.83728238276404
"8",8,597.385162906092,1.51660752881265
"9",9,320.024917256201,0.609177161089269
"10",10,551.409531617806,0.552534988269792
"11",11,170.231340561561,0.448409653867659
"12",12,280.910300750793,0.553365074963922
"13",13,165.664199753008,0.329532259892075
"14",14,169.654507160759,0.564150939064752
"15",15,201.579489706161,0.60558199566525
"16",16,325.101304917894,0.783243847685262
"17",17,204.596677417863,0.468543893307768
"18",18,347.757791688613,1.15317918694328
"19",19,197.326806995886,0.597960551512354
"20",20,265.825543938753,0.643557124100251
