"","Año","Y","CPUEdat"
"1",1,0,2.53167603476418
"2",2,75.3573031776713,2.48296536015864
"3",3,90.4216923807644,2.14926109973153
"4",4,312.715234190587,2.42043753899823
"5",5,805.979805949514,1.81209457549672
"6",6,444.51567859056,1.77873097138786
"7",7,697.667371491846,1.12256249084307
"8",8,632.176053219781,1.18246412240296
"9",9,429.830751077843,0.917784541264223
"10",10,376.133758203187,0.741592548599582
"11",11,268.464146810037,0.706345385039149
"12",12,317.349548391465,0.739668528734525
"13",13,251.635925694589,0.669271652963578
"14",14,591.536580086375,0.849563326957404
"15",15,244.870729176878,0.493533539613695
"16",16,386.656207143684,0.730611446770346
"17",17,233.409107006299,0.40411438979653
"18",18,229.797960843307,0.576582595078694
"19",19,254.745019333707,0.622762136149852
"20",20,232.283847179074,0.580465551175395
