"","Año","Y","CPUEdat"
"1",1,0,2.42383041065378
"2",2,59.5505310012366,2.98115227995317
"3",3,77.3933115133626,1.18272380266653
"4",4,433.867922034443,2.2008964894819
"5",5,1373.89838015176,2.02843091961815
"6",6,506.952626128707,1.66081464551282
"7",7,306.480173451186,0.336945738439987
"8",8,264.253227334295,0.525725114965933
"9",9,185.119334712214,0.716147800328229
"10",10,330.127187074591,0.54324765374178
"11",11,353.218898915753,0.839841469029456
"12",12,420.125404811579,1.03297580138456
"13",13,515.258430033791,0.386445872745018
"14",14,162.269594706349,0.562612697854196
"15",15,371.04004615183,0.751420388779795
"16",16,274.422962737605,1.38836453050045
"17",17,225.214168850819,0.372719908045736
"18",18,281.954112270656,0.664315833016881
"19",19,696.80576755857,0.920750412888942
"20",20,220.552804579731,0.360843168239948
