"","Año","Y","CPUEdat"
"1",1,0,1.66976842847343
"2",2,91.4030527111453,1.86562003425309
"3",3,80.3159880485482,1.12888138553901
"4",4,218.66189583936,1.76524387815106
"5",5,987.660462217567,3.28197928000826
"6",6,443.885749290601,0.744391747261574
"7",7,859.178605264724,1.04645853644354
"8",8,357.223749305226,0.561405620676815
"9",9,313.997309157555,0.824360990621737
"10",10,755.991126068846,0.769872546488825
"11",11,146.155152363154,0.257243133190588
"12",12,186.390611673103,0.331842309071518
"13",13,454.481191963995,0.229154463409891
"14",14,159.933132358979,0.2002626526209
"15",15,112.460164242741,0.383312332804725
"16",16,154.340519908714,0.161588457534072
"17",17,82.454113333362,0.243993796368642
"18",18,237.924579019856,0.270590527367905
"19",19,161.26124087412,0.370102915279814
"20",20,122.99728108602,0.36368806250289
